"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\ChallengeAssignmentBox.tsx", "TypeScript JSX", 0, 148, 0, 0, 0, 13, 161
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\ChallengeDetailBox.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 7, 108
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\ChallengeRecapView.tsx", "TypeScript JSX", 0, 134, 0, 0, 0, 13, 147
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\FinalSelection.tsx", "TypeScript JSX", 0, 172, 0, 0, 2, 20, 194
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\StartupChallengeDetail.tsx", "TypeScript JSX", 0, 301, 0, 0, 5, 32, 338
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\StartupChallengeHeader.tsx", "TypeScript JSX", 0, 146, 0, 0, 1, 13, 160
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\StudentChallengeDetail.tsx", "TypeScript JSX", 0, 133, 0, 0, 0, 17, 150
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\StudentChallengeRecap.tsx", "TypeScript JSX", 0, 216, 0, 0, 0, 13, 229
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\SubmissionCard.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 12, 185
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\SubmissionForm.tsx", "TypeScript JSX", 0, 293, 0, 0, 0, 31, 324
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\WinnerSelection.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 32, 217
"c:\Users\zdene\Desktop\studenthub\src\app\challenges\[id]\XpGainedSummary.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 4, 74
